ano;uf;p10;p20;p30;p40;p50;p60;p70;p80;p90;idade;educ;uf_12;uf_13;uf_14;uf_15;uf_16;uf_17;uf_21;uf_22;uf_23;uf_24;uf_25;uf_26;uf_27;uf_28;uf_29;uf_31;uf_32;uf_33;uf_35;uf_41;uf_42;uf_43;uf_50;uf_51;uf_52;uf_53;sal_min
2012,0;11;350,0;545,0;622,0;750,0;900,0;1000,0;1300,0;1800,0;2600,0;35,76080084299262;9,141464699683878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622
2012,0;12;300,0;500,0;622,0;700,0;800,0;1000,0;1250,0;1800,0;2800,0;36,11237830319889;9,224200278164117;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622
2012,0;13;250,0;400,0;600,0;622,0;712,0;864,1999999999998;1100,0;1500,0;2339,3;35,86809929603557;9,345127825120414;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622
2012,0;14;400,0;561,6;622,0;640,0;800,0;1000,0;1244,0;2000,0;3000,0;34,94106280193237;10,514975845410628;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622
2012,0;15;200,0;300,0;500,0;600,0;622,0;800,0;1000,0;1300,0;2000,0;35,810434032768036;8,648462201782122;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622
2012,0;16;300,0;480,0;600,0;622,0;736,0;900,0;1200,0;1800,0;2800,0;35,66369213608478;9,827663134411601;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622
2012,0;17;250,0;480,0;600,0;622,0;700,0;860,0;1100,0;1500,0;2400,0;35,278505269881826;9,46247205365698;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622
2012,0;21;100,0;180,0;280,0;400,0;545,0;622,0;740,0;1000,0;1500,0;35,8132165748849;7,980229303963167;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622
2012,0;22;90,0;160,0;300,0;424,0000000000009;600,0;622,0;800,0;1090,0;1600,0;36,907196138657305;8,338306274681878;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622
2012,0;23;121,80000000000018;220,0;350,0;500,0;600,0;622,0;760,0;1000,0;1500,0;36,065921556452444;8,55034668322467;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622
