pos_ini;tam;cod;from;to;read;nome_desc
1;4;Ano;0;4;1;ano
5;1;Trimestre;4;5;1;trimestre
6;2;UF;5;7;1;uf
8;2;Capital;7;9;1;capital
10;2;RM_RIDE;9;11;0;
12;9;UPA;11;20;0;
21;7;Estrato;20;27;0;
28;2;V1008;27;29;0;
30;2;V1014;29;31;0;
32;1;V1016;31;32;0;
33;1;V1022;32;33;0;
34;1;V1023;33;34;0;
35;15;V1027;34;49;0;peso
50;15;V1028;49;64;0;
65;9;V1029;64;73;0;
74;3;posest;73;76;0;
77;2;V2001;76;78;0;
79;2;V2003;78;80;0;
81;2;V2005;80;82;0;
83;1;V2007;82;83;0;
84;2;V2008;83;85;0;
86;2;V20081;85;87;0;
88;4;V20082;87;91;0;
92;3;V2009;91;94;1;idade
95;1;V2010;94;95;1;cor
96;1;V3001;95;96;0;
97;1;V3002;96;97;0;
98;1;V3002A;97;98;0;
99;2;V3003;98;100;0;
101;2;V3003A;100;102;0;
103;1;V3004;102;103;0;
104;1;V3005;103;104;0;
105;1;V3005A;104;105;0;
106;2;V3006;105;107;0;
108;1;V3006A;107;108;0;
109;1;V3007;108;109;0;
110;1;V3008;109;110;0;
111;2;V3009;110;112;0;
113;2;V3009A;112;114;0;
115;1;V3010;114;115;0;
116;1;V3011;115;116;0;
117;1;V3011A;116;117;0;
118;1;V3012;117;118;0;
119;2;V3013;118;120;0;
121;1;V3013A;120;121;0;
122;1;V3013B;121;122;0;
123;1;V3014;122;123;0;
124;1;V4001;123;124;0;V4001
125;1;V4002;124;125;0;
126;1;V4003;125;126;0;
127;1;V4004;126;127;0;
128;1;V4005;127;128;0;
129;1;V4006;128;129;0;
130;1;V4006A;129;130;0;
131;1;V4007;130;131;0;
132;1;V4008;131;132;0;
133;2;V40081;132;134;0;
135;2;V40082;134;136;0;
137;2;V40083;136;138;0;
139;1;V4009;138;139;0;v4009
140;4;V4010;139;143;0;
144;1;V4012;143;144;0;
145;1;V40121;144;145;0;
146;5;V4013;145;150;0;
151;1;V40132;150;151;0;
152;1;V40132A;151;152;0;
153;1;V4014;152;153;0;
154;1;V4015;153;154;0;
155;1;V40151;154;155;0;
156;1;V401511;155;156;0;
157;2;V401512;156;158;0;
159;1;V4016;158;159;0;
160;1;V40161;159;160;0;
161;2;V40162;160;162;0;
163;2;V40163;162;164;0;
165;1;V4017;164;165;0;
166;1;V40171;165;166;0;
167;1;V401711;166;167;0;
168;1;V4018;167;168;0;
169;1;V40181;168;169;0;
170;2;V40182;169;171;0;
172;2;V40183;171;173;0;
174;1;V4019;173;174;0;
175;1;V4020;174;175;0;
176;1;V4021;175;176;0;
177;1;V4022;176;177;0;
178;1;V4024;177;178;0;
179;1;V4025;178;179;0;
180;1;V4026;179;180;0;
181;1;V4027;180;181;0;
